"Yard.Code","area","shrub","tree","mean_dbh","n_fruiting_plants","proportion_fruit","n_native_plants","proportion_native","season","richness","year","area_scale","shrub_scale","tree_scale","mean_dbh_scale","n_fruiting_plants_scale","proportion_fruit_scale","n_native_plants_scale","proportion_native_scale","richness_scale"
"Y24",2500000,5,7,16.25,2,0.166666666666667,0,0,"breeding",2,"2024",0.160772205177686,0.0930107560008775,0.674874209881555,-0.289537692260726,3.01388640916846,0.419530559970491,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y24",2500000,5,7,16.25,2,0.166666666666667,0,0,"breeding",1,"2025",0.160772205177686,0.0930107560008775,0.674874209881555,-0.289537692260726,3.01388640916846,0.419530559970491,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y09",1600000,4,2,13.1666666666667,0,0,0,0,"migration",1,"2024",-1.06356997271392,-0.111612907201053,-0.522483259263139,-0.443369306870525,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y09",1600000,4,2,13.1666666666667,0,0,0,0,"migration",1,"2025",-1.06356997271392,-0.111612907201053,-0.522483259263139,-0.443369306870525,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y09",1600000,4,2,13.1666666666667,0,0,0,0,"breeding",1,"2024",-1.06356997271392,-0.111612907201053,-0.522483259263139,-0.443369306870525,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y09",1600000,4,2,13.1666666666667,0,0,0,0,"breeding",1,"2025",-1.06356997271392,-0.111612907201053,-0.522483259263139,-0.443369306870525,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y49",1300000,5,2,17.0714285714286,0,0,0,0,"migration",5,"2024",-1.47168403201112,0.0930107560008775,-0.522483259263139,-0.248555524661975,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.680231532180636
"Y49",1300000,5,2,17.0714285714286,0,0,0,0,"migration",4,"2025",-1.47168403201112,0.0930107560008775,-0.522483259263139,-0.248555524661975,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.338079144736484
"Y49",1300000,5,2,17.0714285714286,0,0,0,0,"breeding",2,"2024",-1.47168403201112,0.0930107560008775,-0.522483259263139,-0.248555524661975,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y49",1300000,5,2,17.0714285714286,0,0,0,0,"breeding",5,"2025",-1.47168403201112,0.0930107560008775,-0.522483259263139,-0.248555524661975,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.680231532180636
"Y25",1400000,2,2,23.25,0,0,1,0.25,"migration",1,"2024",-1.33564601224539,-0.520860233604914,-0.522483259263139,0.0597016490155781,-0.570194726058898,-0.362645060313474,-0.12866439751338,0.466135842916211,-0.688378017595973
"Y25",1400000,2,2,23.25,0,0,1,0.25,"migration",NA,"2025",-1.33564601224539,-0.520860233604914,-0.522483259263139,0.0597016490155781,-0.570194726058898,-0.362645060313474,-0.12866439751338,0.466135842916211,NA
"Y25",1400000,2,2,23.25,0,0,1,0.25,"breeding",3,"2024",-1.33564601224539,-0.520860233604914,-0.522483259263139,0.0597016490155781,-0.570194726058898,-0.362645060313474,-0.12866439751338,0.466135842916211,-0.00407324270766847
"Y25",1400000,2,2,23.25,0,0,1,0.25,"breeding",NA,"2025",-1.33564601224539,-0.520860233604914,-0.522483259263139,0.0597016490155781,-0.570194726058898,-0.362645060313474,-0.12866439751338,0.466135842916211,NA
